behaveplus:24_hour_clock,24-hour clock
behaveplus:viewing_graphs,Viewing Graphs
behaveplus:viewing_tables,Viewing Tables
behaveplus:warn_input_limit,Number of inputs with a range of values exceeded the allowed limit (%d/%d), Please remove some.
behaveplus:welcome_message,Welcome to BehavePlus 7.0
behaveplus:work_style,Work Style
behaveplus:workflow:guided_desc,Start from a template from our worksheet library.
behaveplus:workflow:guided_title,Guided workflow
behaveplus:workflow:import_desc,File extensions supported: *.bp6 (XML) or *.bp7 (SQLite)
behaveplus:workflow:import_title,Open or import an existing file.
behaveplus:workflow:independent_desc,Recommended for experienced users of BehavePlus.
behaveplus:workflow:independent_title,Standard Workflow
behaveplus:working_area,Working Area
behaveplus:worksheet,Worksheet
behaveplus:worksheet_review,Worksheet Review
behaveplus:worksheet_templates,Worksheet Templates
behaveplus:x_graph_and_axis_limits,X Graph Axis Limits
behaveplus:y_axis_maximum,Y Axis Maximum
behaveplus:y_axis_minimum,Y Axis Minimum
behaveplus:y_graph_and_axis_limits,Y Graph Axis Limits
behaveplus:you_can_add_up_to_10_resources,You can add up to 10 resources.
behaveplus:you_can_edit_andor_delete_resources,You can edit and/or delete resources
behaveplus:crown:input:canopy_fuel:crown-ratio:crown-ratio,Crown Ratio
behaveplus:crown:result:canopy_fuel:crown-ratio:crown-ratio,Crown Ratio
behaveplus:surface:output:fire_behavior:surface_fire:flanking:fireline-intensity,Fireline Intensity
behaveplus:surface:result:fire_behavior:surface_fire:flanking:fireline-intensity,Fireline Intensity
behaveplus:mortality:compute-scorch-height:air-temperature:air-temperature,Air Temperature
behaveplus:mortality:compute-scorch-height:air-temperature:air-temperature,Air Temperature
behaveplus:crown:input:fuel_moisture:moisture-input-mode:moisture-input-mode,Moisture Input Mode
behaveplus:crown:result:fuel_moisture:moisture-input-mode:moisture-input-mode,Moisture Input Mode
behaveplus:surface:output:intermediates:fuel_characteristics:bulk_density,Bulk Density
behaveplus:surface:result:intermediates:fuel_characteristics:bulk_density,Bulk Density
behaveplus:contain:output:fire:fire_size___at_resource_arrival_time:fire_perimeter___at_resource_arrival_time,Fire Perimeter at First Resource Arrival Time
behaveplus:contain:result:fire:fire_size___at_resource_arrival_time:fire_perimeter___at_resource_arrival_time,Fire Perimeter at First Resource Arrival Time
behaveplus:surface:input:fuel_moisture:by-size-class:live-herbaceous-fuel-moisture:live-herbaceous-fuel-moisture,Live Herbaceous Fuel Moisture
behaveplus:surface:result:fuel_moisture:by-size-class:live-herbaceous-fuel-moisture:live-herbaceous-fuel-moisture,Live Herbaceous Fuel Moisture
behaveplus:surface:input:size:slope:slope,Slope
behaveplus:surface:result:size:slope:slope,Slope
behaveplus:mortality:input:scorch:weather:air_temperature:air_temperature,Air Temperature
behaveplus:mortality:result:scorch:weather:air_temperature:air_temperature,Air Temperature
behaveplus:mortality:input:fuelvegetation_overstory:beetle-damage:beetle-damage,Beetle Damage
behaveplus:mortality:result:fuelvegetation_overstory:beetle-damage:beetle-damage,Beetle Damage
behaveplus:surface:input:directions_of_surface_spread__wind:surface_fire_wind__spread:surface-spread-direction-mode:surface-spread-direction-mode,Surface Spread Direction Mode
behaveplus:surface:result:directions_of_surface_spread__wind:surface_fire_wind__spread:surface-spread-direction-mode:surface-spread-direction-mode,Surface Spread Direction Mode
behaveplus:mortality:compute-scorch:air-temperature:air-temperature,Air Temperature
behaveplus:mortality:compute-scorch:air-temperature:air-temperature,Air Temperature
behaveplus:surface:input:spot:topography:ridge_to_valley_horizontal_distance:ridge_to_valley_horizontal_distance,Ridge-to-Valley Horizontal Distance
behaveplus:surface:result:spot:topography:ridge_to_valley_horizontal_distance:ridge_to_valley_horizontal_distance,Ridge-to-Valley Horizontal Distance
behaveplus:surface:input:fuel_moisture:dead-live-herb-and-live-woody-categories:dead-fuel-moisture:dead-fuel-moisture,Dead Fuel Moisture
behaveplus:surface:result:fuel_moisture:dead-live-herb-and-live-woody-categories:dead-fuel-moisture:dead-fuel-moisture,Dead Fuel Moisture
behaveplus:crown:output:fire_type:fire_behavior:active-crown-fireline-intensity,Fireline Intensity
behaveplus:crown:result:fire_type:fire_behavior:active-crown-fireline-intensity,Fireline Intensity
behaveplus:surface:output:spot:burning_pile:firebrand_height_from_a_burning_pile,Firebrand Height from a Burning Pile
behaveplus:surface:result:spot:burning_pile:firebrand_height_from_a_burning_pile,Firebrand Height from a Burning Pile
behaveplus:surface:output:special_case_fuel_models:chaparral:fuel_load:total_dead_fuel_load,Total Dead Fuel Load
behaveplus:surface:result:special_case_fuel_models:chaparral:fuel_load:total_dead_fuel_load,Total Dead Fuel Load
behaveplus:surface:input:spot:torching_trees:torching_tree_height:torching_tree_height,Torching Tree Height
behaveplus:surface:result:spot:torching_trees:torching_tree_height:torching_tree_height,Torching Tree Height
behaveplus:mortality:input:scorch:fire:scorch_height:scorch_height,Scorch Height
behaveplus:mortality:result:scorch:fire:scorch_height:scorch_height,Scorch Height
behaveplus:crown:input:fuel_moisture:100-h-fuel-moisture:100-h-fuel-moisture,100-h Fuel Moisture
behaveplus:crown:result:fuel_moisture:100-h-fuel-moisture:100-h-fuel-moisture,100-h Fuel Moisture
behaveplus:crown:input:spotting:topography:ridge_to_valley_horizontal_distance:ridge_to_valley_horizontal_distance,Ridge-to-Valley Horizontal Distance
behaveplus:crown:result:spotting:topography:ridge_to_valley_horizontal_distance:ridge_to_valley_horizontal_distance,Ridge-to-Valley Horizontal Distance
behaveplus:surface:output:intermediates:heat_source:wind_factor,Wind Factor
behaveplus:surface:result:intermediates:heat_source:wind_factor,Wind Factor
behaveplus:crown:input:spotting:topography:spotting_source_location:spotting_source_location,Spotting Source Location
behaveplus:crown:result:spotting:topography:spotting_source_location:spotting_source_location,Spotting Source Location
behaveplus:surface:output:spot:maximum_spotting_distance:wind_driven_surface_fire,Wind-Driven Surface Fire
behaveplus:surface:result:spot:maximum_spotting_distance:wind_driven_surface_fire,Max Spot Distance from Wind-Driven Surface Fire
behaveplus:crown:input:fuel_moisture:live-herbaceous-fuel-moisture:live-herbaceous-fuel-moisture,Live Herbaceous Fuel Moisture
behaveplus:crown:result:fuel_moisture:live-herbaceous-fuel-moisture:live-herbaceous-fuel-moisture,Live Herbaceous Fuel Moisture
behaveplus:crown:input:canopy_fuel:canopy_bulk_density:canopy_bulk_density,Canopy Bulk Density
behaveplus:crown:result:canopy_fuel:canopy_bulk_density:canopy_bulk_density,Canopy Bulk Density
behaveplus:surface:input:spot:torching_trees:torching_tree_species:torching_tree_species,Torching Tree Species
behaveplus:surface:result:spot:torching_trees:torching_tree_species:torching_tree_species,Torching Tree Species
behaveplus:surface:output:special_case_fuel_models:chaparral:live_fuel_load:stems_less_than_025_inches,Stems less than 0.25 inches
behaveplus:surface:result:special_case_fuel_models:chaparral:live_fuel_load:stems_less_than_025_inches,Stems less than 0.25 inches
behaveplus:mortality:compute-scorch-height:scorch-height:scorch-height,Scorch Height
behaveplus:mortality:compute-scorch-height:scorch-height:scorch-height,Scorch Height
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:live_fuel_load:fine_0_to_025_inches,Live Fine: 0 to 0.25 inches
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:live_fuel_load:fine_0_to_025_inches,Live Fine: 0 to 0.25 inches
behaveplus:surface:input:spot:burning-pile:flame-height:flame-height,Flame Height
behaveplus:surface:result:spot:burning-pile:flame-height:flame-height,Flame Height
behaveplus:surface:input:directions_of_surface_spread__wind:surface_fire_wind__spread:direction-of-interest:direction-of-interest,Direction of Interest
behaveplus:surface:result:directions_of_surface_spread__wind:surface_fire_wind__spread:direction-of-interest:direction-of-interest,Direction of Interest
behaveplus:mortality:input:fuelvegetation_overstory:canopy_height:canopy_height,Canopy Height
behaveplus:mortality:result:fuelvegetation_overstory:canopy_height:canopy_height,Canopy Height
behaveplus:crown:input:weather:wind-and-slope-are:wind-direction:wind-direction-degrees,Wind Direction (degrees)
behaveplus:crown:result:weather:wind-and-slope-are:wind-direction:wind-direction-degrees,Wind Direction (degrees)
behaveplus:surface:input:fuel_models:standard:canopy-height:canopy-height,Canopy Height
behaveplus:surface:result:fuel_models:standard:canopy-height:canopy-height,Canopy Height
behaveplus:surface:output:fire_behavior:surface_fire:backing:backing_flame_length,Flame Length
behaveplus:surface:result:fire_behavior:surface_fire:backing:backing_flame_length,Flame Length
behaveplus:surface:input:fuel_models:standard:crown-ratio:crown-ratio,Crown Ratio
behaveplus:surface:result:fuel_models:standard:crown-ratio:crown-ratio,Crown Ratio
behaveplus:surface:output:fire_behavior:surface_fire:heading:fireline-intensity,Fireline Intensity
behaveplus:surface:result:fire_behavior:surface_fire:heading:fireline-intensity,Fireline Intensity
behaveplus:mortality:compute-scorch:midflame-wind-speed:midflame-eye-level-wind-speed,Midflame (eye level) Wind Speed
behaveplus:mortality:compute-scorch:midflame-wind-speed:midflame-eye-level-wind-speed,Midflame (eye level) Wind Speed
behaveplus:surface:input:fuel_moisture:moisture-scenario:moisture-scenario,Moisture Scenario
behaveplus:surface:result:fuel_moisture:moisture-scenario:moisture-scenario,Moisture Scenario
behaveplus:surface:output:size:spread-distance:backing-spread-distance,Backing Spread Distance
behaveplus:surface:result:size:spread-distance:backing-spread-distance,Backing Spread Distance
behaveplus:surface:output:size:surface___fire_size:length-to-width-ratio,Length-to-Width Ratio
behaveplus:surface:result:size:surface___fire_size:length-to-width-ratio,Length-to-Width Ratio
behaveplus:surface:input:fuel_models:special_case:chaparral_upland:direct_fuel_load:total_fuel_load:total_fuel_load,Total Fuel Load
behaveplus:surface:result:fuel_models:special_case:chaparral_upland:direct_fuel_load:total_fuel_load:total_fuel_load,Total Fuel Load
behaveplus:surface:input:fuel_models:special_case:western_aspen:multiple_fuel_models:multiple_fuel_models,Multiple Fuel Models
behaveplus:surface:result:fuel_models:special_case:western_aspen:multiple_fuel_models:multiple_fuel_models,Multiple Fuel Models
behaveplus:mortality:input:scorch:weather:midflame_wind_speed:midflame_wind_speed,Midflame (eye level) Wind Speed
behaveplus:mortality:result:scorch:weather:midflame_wind_speed:midflame_wind_speed,Midflame (eye level) Wind Speed
behaveplus:crown:output:size:fire_perimeter:fire_perimeter,Fire Perimeter
behaveplus:crown:result:size:fire_perimeter:fire_perimeter,Fire Perimeter
behaveplus:crown:output:fire_type:active_or_independent_crown_fire:active_ratio,Active Ratio
behaveplus:crown:result:fire_type:active_or_independent_crown_fire:active_ratio,Active Ratio
behaveplus:crown:output:spotting_active_crown_fire:flame_height_above_canopy:flame_height_above_canopy,Flame height above Canopy
behaveplus:crown:result:spotting_active_crown_fire:flame_height_above_canopy:flame_height_above_canopy,Flame height above Canopy
behaveplus:mortality:output:tree_mortality:tree_mortality:tree_crown_length_scorched,Tree Crown Length Scorched
behaveplus:mortality:result:tree_mortality:tree_mortality:tree_crown_length_scorched,Tree Crown Length Scorched
behaveplus:surface:output:special_case_fuel_models:chaparral:dead_fuel_load:from_025_inches_to_050_inches,From 0.25 Inches to 0.50 inches
behaveplus:surface:result:special_case_fuel_models:chaparral:dead_fuel_load:from_025_inches_to_050_inches,From 0.25 Inches to 0.50 inches
behaveplus:contain:output:fire:containment:contained_area,Contained Area
behaveplus:contain:result:fire:containment:contained_area,Contained Area
behaveplus:surface:output:size:surface___fire_size:fire_area,Fire Area
behaveplus:surface:result:size:surface___fire_size:fire_area,Fire Area
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:live_fuel_load:leaves,Leaves
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:live_fuel_load:leaves,Leaves
behaveplus:mortality:output:tree_mortality:tree_mortality:bark_thickness,Bark Thickness
behaveplus:mortality:result:tree_mortality:tree_mortality:bark_thickness,Bark Thickness
behaveplus:surface:input:spot:topography:spott_list_source_location:spott_list_source_location,Spotting Source Location
behaveplus:surface:result:spot:topography:spott_list_source_location:spott_list_source_location,Spotting Source Location
behaveplus:crown:input:fuel_moisture:10-h-fuel-moisture:10-h-fuel-moisture,10-h Fuel Moisture
behaveplus:crown:result:fuel_moisture:10-h-fuel-moisture:10-h-fuel-moisture,10-h Fuel Moisture
behaveplus:crown:output:fire_type:active_or_independent_crown_fire:critical_crown_rate_of_spread,Critical Crown Rate of Spread
behaveplus:crown:result:fire_type:active_or_independent_crown_fire:critical_crown_rate_of_spread,Critical Crown Rate of Spread
behaveplus:surface:output:special_case_fuel_models:chaparral:live_fuel_load:stems_05_to_10_inches,Stems 0.50 Inches to 1.0 inches
behaveplus:surface:result:special_case_fuel_models:chaparral:live_fuel_load:stems_05_to_10_inches,Stems 0.50 Inches to 1.0 inches
behaveplus:crown:input:canopy_fuel:canopy-cover:canopy-cover,Canopy Cover
behaveplus:crown:result:canopy_fuel:canopy-cover:canopy-cover,Canopy Cover
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:dead_fuel_load:foliage_fuel_load_on_stem,Live Foliage: On Stem
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:dead_fuel_load:foliage_fuel_load_on_stem,Live Foliage: On Stem
behaveplus:crown:input:weather:wind_adjustment_factor:wind-adjustment-factor:wind-adjustment-factor,Wind Adjustment Factor
behaveplus:crown:result:weather:wind_adjustment_factor:wind-adjustment-factor:wind-adjustment-factor,Wind Adjustment Factor
behaveplus:surface:output:special_case_fuel_models:chaparral:live_fuel_load:leaves,Leaves
behaveplus:surface:result:special_case_fuel_models:chaparral:live_fuel_load:leaves,Leaves
behaveplus:crown:output:fire_type:fire_behavior:rate_of_spread,Rate of Spread
behaveplus:crown:result:fire_type:fire_behavior:rate_of_spread,Rate of Spread
behaveplus:surface:output:special_case_fuel_models:western_aspen:surface_area_to_volume_ratio_sav:1_h_sav,1-h SA/V
behaveplus:surface:result:special_case_fuel_models:western_aspen:surface_area_to_volume_ratio_sav:1_h_sav,1-h SA/V
behaveplus:crown:input:weather:wind-orientation-mode:wind-and-spread-orientation,Wind and Spread Directions
behaveplus:crown:result:weather:wind-orientation-mode:wind-and-spread-orientation,Wind and Spread Directions
behaveplus:surface:input:fuel_models:special_case:chaparral_upland:calculated_from_fuel_depth_and_type:fuel_type:fuel_type,Fuel Type
behaveplus:surface:result:fuel_models:special_case:chaparral_upland:calculated_from_fuel_depth_and_type:fuel_type:fuel_type,Fuel Type
behaveplus:contain:input:suppression:resources:resource_line_production_rate,Resource Line Production Rate
behaveplus:contain:result:suppression:resources:resource_line_production_rate,Resource Line Production Rate
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:fuelbed:fuelbed_depth,Fuelbed Depth
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:fuelbed:fuelbed_depth,Fuelbed Depth
behaveplus:surface:output:fire_behavior:surface_fire:flanking:flanking_rate_of_spread,Rate of Spread
behaveplus:surface:result:fire_behavior:surface_fire:flanking:flanking_rate_of_spread,Rate of Spread
behaveplus:mortality:input:fuelvegetation_overstory:bole-char-height:bole-char-height,Bole Char Height
behaveplus:mortality:result:fuelvegetation_overstory:bole-char-height:bole-char-height,Bole Char Height
behaveplus:surface:output:fire_behavior:surface_fire:heading:heading_rate_of_spread,Rate of Spread
behaveplus:surface:result:fire_behavior:surface_fire:heading:heading_rate_of_spread,Rate of Spread
behaveplus:crown:output:size:spread_distance:spread_distance,Spread Distance
behaveplus:crown:result:size:spread_distance:spread_distance,Spread Distance
behaveplus:crown:input:weather:wind_adjustment_factor:wind-adjustment-factor-calculation-method,Wind Adjustment Factor Calculation Method
behaveplus:crown:result:weather:wind_adjustment_factor:wind-adjustment-factor-calculation-method,Wind Adjustment Factor Calculation Method
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:live_fuel_load:foliage_fuel_load__on_stem,Live Foliage: On Stem
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:live_fuel_load:foliage_fuel_load__on_stem,Live Foliage: On Stem
behaveplus:surface:output:intermediates:fuel_characteristics:relative_packing_ratio,Relative Packing Ratio
behaveplus:surface:result:intermediates:fuel_characteristics:relative_packing_ratio,Relative Packing Ratio
behaveplus:surface:output:intermediates:fuel_moisture:characteristic_dead,Characteristic Dead Moisture
behaveplus:surface:result:intermediates:fuel_moisture:characteristic_dead,Characteristic Dead Moisture
behaveplus:surface:input:fuel_moisture:by-size-class:live-woody-fuel-moisture:live-woody-fuel-moisture,Live Woody Fuel Moisture
behaveplus:surface:result:fuel_moisture:by-size-class:live-woody-fuel-moisture:live-woody-fuel-moisture,Live Woody Fuel Moisture
behaveplus:crown:output:fire_type:transition_to_crown_fire:critical_surface_fireline_intensity,Critical Surface Fireline Intensity
behaveplus:crown:result:fire_type:transition_to_crown_fire:critical_surface_fireline_intensity,Critical Surface Fireline Intensity
behaveplus:surface:output:intermediates:fuel_characteristics:characteristic_sav,Characteristic SA/V
behaveplus:surface:result:intermediates:fuel_characteristics:characteristic_sav,Characteristic SA/V
behaveplus:surface:input:spot:canopy_fuel:downwind_canopy_height:downwind_canopy_height,Downwind Canopy Height
behaveplus:surface:result:spot:canopy_fuel:downwind_canopy_height:downwind_canopy_height,Downwind Canopy Height
behaveplus:surface:input:spot:torching_trees:number_of_torching_trees_numeric_value:number_of_torching_trees_numeric_value,Number of Torching Trees
behaveplus:surface:result:spot:torching_trees:number_of_torching_trees_numeric_value:number_of_torching_trees_numeric_value,Number of Torching Trees
behaveplus:mortality:input:fuelvegetation_overstory:tree-density-per-unit-area:intermediate---tree-density,Intermediate - Tree Density
behaveplus:mortality:result:fuelvegetation_overstory:tree-density-per-unit-area:intermediate---tree-density,Intermediate - Tree Density
behaveplus:contain:input:suppression:resources:resource_name,Resource Name
behaveplus:contain:result:suppression:resources:resource_name,Resource Name
behaveplus:surface:input:fuel_moisture:by-size-class:10-h-fuel-moisture:10-h-fuel-moisture,10-h Fuel Moisture
behaveplus:surface:result:fuel_moisture:by-size-class:10-h-fuel-moisture:10-h-fuel-moisture,10-h Fuel Moisture
behaveplus:contain:output:fire:containment:containment-diagram,Containment Diagram
behaveplus:contain:result:fire:containment:containment-diagram,Containment Diagram
behaveplus:mortality:input:fuelvegetation_overstory:crown_ratio:crown_ratio,Crown Ratio
behaveplus:mortality:result:fuelvegetation_overstory:crown_ratio:crown_ratio,Crown Ratio
behaveplus:surface:input:fuel_moisture:moisture_input_mode:moisture_input_mode,Moisture Input Mode
behaveplus:surface:result:fuel_moisture:moisture_input_mode:moisture_input_mode,Moisture Input Mode
behaveplus:surface:input:directions_of_surface_spread__wind:direction_of_interest:wind-and-spread-orientation,Wind and Spread Directions
behaveplus:surface:result:directions_of_surface_spread__wind:direction_of_interest:wind-and-spread-orientation,Wind and Spread Directions
behaveplus:surface:output:intermediates:heat_sink:flame_residence_time,Flame Residence Time
